t,x1,x2,x3,x4,x5,x6,x7,x8,x9
0,-1.01,-1,-0.666666666666667,-0.333333333333333,0,0.333333333333333,0.666666666666667,1,1.99
0.005,-1.01020616305419,-1,-0.663578875706569,-0.331363870201276,0,0.332346046886419,0.666048639305147,1,1.96200137177824
0.01,-1.01041666437698,-1,-0.660488572383435,-0.32940606882542,0,0.331359504482538,0.665429123591331,1,1.93612116521262
0.015,-1.01063159890207,-1,-0.657396100289907,-0.327459884760143,0,0.330373718542554,0.664808117241074,1,1.91210361435676
0.02,-1.01085106380711,-1,-0.654301800689092,-0.325525272888011,0,0.329388701456967,0.664185617986185,1,1.88973282235137
0.025,-1.01107515862968,-1,-0.651206012348911,-0.323602187446835,0,0.328404465585074,0.663561623574657,1,1.86882264358311
0.03,-1.01130398526726,-1,-0.648109071542097,-0.321690582029678,0,0.327421023254975,0.662936131770658,1,1.84921668368467
0.035,-1.01153765622698,-1,-0.645011307070373,-0.319790410467851,0,0.326438386721847,0.662309140367169,1,1.83073697509216
0.04,-1.01177628227149,-1,-0.641913048008995,-0.31790162538429,0,0.3254565682332,0.661680647165626,1,1.81325645220024
0.045,-1.01201996719139,-1,-0.63881462607099,-0.31602417784649,0,0.32447558005065,0.661050649969912,1,1.79671823831818
0.05,-1.01226881843036,-1,-0.635716368837908,-0.314158018616022,0,0.323495434393691,0.660419146603757,1,1.78106659182766
0.055,-1.01252294708518,-1,-0.632618599759824,-0.312303098148526,0,0.322516143439699,0.659786134910743,1,1.76624690618272
0.06,-1.01278246790574,-1,-0.629521638155335,-0.310459366593718,0,0.321537719323933,0.659151612754301,1,1.75220570990981
0.065,-1.01304749929503,-1,-0.626425799211564,-0.308626773795386,0,0.320560174139531,0.65851557801771,1,1.73889066660777
0.07,-1.01331816330911,-1,-0.623331393984154,-0.306805269291392,0,0.319583519937514,0.657878028604101,1,1.72625057494779
0.075,-1.01359458565718,-1,-0.620238729397274,-0.304994802313669,0,0.318607768726783,0.657238962436454,1,1.71423536867349
0.08,-1.01387689570151,-1,-0.617148108243615,-0.303195321788225,0,0.317632932474122,0.6565983774576,1,1.70279611660084
0.085,-1.01416522645747,-1,-0.614059829184391,-0.30140677633514,0,0.316659023104194,0.655956271630217,1,1.69188502261824
0.09,-1.01445971459354,-1,-0.610974186749343,-0.299629114268568,0,0.315686052499546,0.655312642936835,1,1.68145542568643
0.095,-1.01476050043129,-1,-0.60789147133673,-0.297862283596735,0,0.314714032500603,0.654667489379834,1,1.67146179983858
0.1,-1.0150677279454,-1,-0.604811969213339,-0.296106232021942,0,0.313742974905674,0.654020808981442,1,1.6618597541802
0.105,-1.01538154476363,-1,-0.601735962514479,-0.294360906940561,0,0.312772891470949,0.653372599783738,1,1.65260603288923
0.11,-1.01570210216686,-1,-0.59866372924398,-0.292626255443038,0,0.311803793910498,0.65272285984865,1,1.64365851521598
0.115,-1.01602955508904,-1,-0.5955955432742,-0.290902224313891,0,0.310835693896273,0.652071587257957,1,1.63497621548314
0.12,-1.01636406211726,-1,-0.592531674346016,-0.289188760031713,0,0.309868603058108,0.651418780113288,1,1.6265192830858
0.125,-1.01670578549166,-1,-0.589472388068832,-0.287485808769169,0,0.308902532983717,0.650764436536119,1,1.61827909231341
0.13,-1.01705489110552,-1,-0.586417945920573,-0.285793316392997,0,0.307937495218695,0.650108554667779,1,1.61030436820884
0.135,-1.01741154850519,-1,-0.583368605247688,-0.284111228464008,0,0.306973501266521,0.649451132669444,1,1.60258699725522
0.14,-1.01777593089014,-1,-0.58032461926515,-0.282439490237087,0,0.306010562588552,0.648792168722143,1,1.59511616370992
0.145,-1.01814821511292,-1,-0.577286237056455,-0.280778046661191,0,0.305048690604029,0.648131661026752,1,1.58788135707819
0.15,-1.0185285816792,-1,-0.574253703573623,-0.27912684237935,0,0.304087896690072,0.647469607803997,1,1.58087237211313
0.155,-1.01891721474772,-1,-0.571227259637197,-0.277485821728669,0,0.303128192181684,0.646806007294456,1,1.57407930881571
0.16,-1.01932278211503,-1,-0.568207573805129,-0.275854871560205,0,0.30216958654329,0.646140860150588,1,1.56749257243479
0.165,-1.01975287420555,-1,-0.565195255530602,-0.274233881846124,0,0.301212089435107,0.645474166745728,1,1.56110287346708
0.17,-1.02020610574918,-1,-0.562190452288623,-0.272622801445289,0,0.300255712399767,0.644805924948456,1,1.55490122765716
0.175,-1.02068114999519,-1,-0.559193309434505,-0.271021579309289,0,0.299300466907273,0.644136132669751,1,1.54887895599749
0.18,-1.02117673871218,-1,-0.556203970203862,-0.269430164482435,0,0.298346364355,0.643464787862996,1,1.54302768472839
0.185,-1.02169166218811,-1,-0.553222575712615,-0.267848506101767,0,0.297393416067692,0.642791888523974,1,1.53733934533805
0.19,-1.02222476923028,-1,-0.550249264956987,-0.266276553397049,0,0.296441633297465,0.642117432690869,1,1.53180617456254
0.195,-1.02277496716534,-1,-0.547284174813503,-0.26471425569077,0,0.295491027223806,0.641441418444269,1,1.52642071438578
0.2,-1.02334122183932,-1,-0.544327440038996,-0.263161562398145,0,0.294541608953573,0.640763843907161,1,1.52117581203959
0.205,-1.02392255761755,-1,-0.541379193270599,-0.261618423027113,0,0.293593389520994,0.640084707244934,1,1.51606462000362
0.21,-1.02451805738475,-1,-0.53843956502575,-0.260084787178339,0,0.292646379887671,0.639404006665381,1,1.51108059600543
0.215,-1.02512686254497,-1,-0.535508683702192,-0.258560604545214,0,0.291700590942573,0.638721740418693,1,1.50621750302041
