x,g1,g2,g3,g4,g5
-0.42,0.460488,0.355488,0.302988,0.250488,0.145488
-0.419,0.458621059,0.353871059,0.301496059,0.249121059,0.144371059
-0.418,0.456758632,0.352258632,0.300008632,0.247758632,0.143258632
-0.417,0.454900713,0.350650713,0.298525713,0.246400713,0.142150713
-0.416,0.453047296,0.349047296,0.297047296,0.245047296,0.141047296
-0.415,0.451198375,0.347448375,0.295573375,0.243698375,0.139948375
-0.414,0.449353944,0.345853944,0.294103944,0.242353944,0.138853944
-0.413,0.447513997,0.344263997,0.292638997,0.241013997,0.137763997
-0.412,0.445678528,0.342678528,0.291178528,0.239678528,0.136678528
-0.411,0.443847531,0.341097531,0.289722531,0.238347531,0.135597531
-0.41,0.442021,0.339521,0.288271,0.237021,0.134521
-0.409,0.440198929,0.337948929,0.286823929,0.235698929,0.133448929
-0.408,0.438381312,0.336381312,0.285381312,0.234381312,0.132381312
-0.407,0.436568143,0.334818143,0.283943143,0.233068143,0.131318143
-0.406,0.434759416,0.333259416,0.282509416,0.231759416,0.130259416
-0.405,0.432955125,0.331705125,0.281080125,0.230455125,0.129205125
-0.404,0.431155264,0.330155264,0.279655264,0.229155264,0.128155264
-0.403,0.429359827,0.328609827,0.278234827,0.227859827,0.127109827
-0.402,0.427568808,0.327068808,0.276818808,0.226568808,0.126068808
-0.401,0.425782201,0.325532201,0.275407201,0.225282201,0.125032201
-0.4,0.424,0.324,0.274,0.224,0.124
-0.399,0.422222199,0.322472199,0.272597199,0.222722199,0.122972199
-0.398,0.420448792,0.320948792,0.271198792,0.221448792,0.121948792
-0.397,0.418679773,0.319429773,0.269804773,0.220179773,0.120929773
-0.396,0.416915136,0.317915136,0.268415136,0.218915136,0.119915136
-0.395,0.415154875,0.316404875,0.267029875,0.217654875,0.118904875
-0.394,0.413398984,0.314898984,0.265648984,0.216398984,0.117898984
-0.393,0.411647457,0.313397457,0.264272457,0.215147457,0.116897457
-0.392,0.409900288,0.311900288,0.262900288,0.213900288,0.115900288
-0.391,0.408157471,0.310407471,0.261532471,0.212657471,0.114907471
-0.39,0.406419,0.308919,0.260169,0.211419,0.113919
-0.389,0.404684869,0.307434869,0.258809869,0.210184869,0.112934869
-0.388,0.402955072,0.305955072,0.257455072,0.208955072,0.111955072
-0.387,0.401229603,0.304479603,0.256104603,0.207729603,0.110979603
-0.386,0.399508456,0.303008456,0.254758456,0.206508456,0.110008456
-0.385,0.397791625,0.301541625,0.253416625,0.205291625,0.109041625
-0.384,0.396079104,0.300079104,0.252079104,0.204079104,0.108079104
-0.383,0.394370887,0.298620887,0.250745887,0.202870887,0.107120887
-0.382,0.392666968,0.297166968,0.249416968,0.201666968,0.106166968
-0.381,0.390967341,0.295717341,0.248092341,0.200467341,0.105217341
-0.38,0.389272,0.294272,0.246772,0.199272,0.104272
-0.379,0.387580939,0.292830939,0.245455939,0.198080939,0.103330939
-0.378,0.385894152,0.291394152,0.244144152,0.196894152,0.102394152
-0.377,0.384211633,0.289961633,0.242836633,0.195711633,0.101461633
-0.376,0.382533376,0.288533376,0.241533376,0.194533376,0.100533376
-0.375,0.380859375,0.287109375,0.240234375,0.193359375,0.099609375
-0.374,0.379189624,0.285689624,0.238939624,0.192189624,0.098689624
-0.373,0.377524117,0.284274117,0.237649117,0.191024117,0.097774117
-0.372,0.375862848,0.282862848,0.236362848,0.189862848,0.096862848
-0.371,0.374205811,0.281455811,0.235080811,0.188705811,0.095955811
-0.37,0.372553,0.280053,0.233803,0.187553,0.095053
-0.369,0.370904409,0.278654409,0.232529409,0.186404409,0.094154409
