x,y
-0.152656,0.188
-0.152,0.186946742732211
-0.151404,0.186
-0.151,0.185354011210068
-0.150144,0.184
-0.15,0.183770660942423
-0.149,0.182193663543061
-0.148876,0.182
-0.148,0.180622213004252
-0.1476,0.18
-0.147,0.179059855844563
-0.146316,0.178
-0.146,0.177506648422973
-0.145024,0.176
-0.145,0.175962660443407
-0.144,0.174420805439697
-0.143724,0.174
-0.143,0.17288725576794
-0.142416,0.172
-0.142,0.17136271331362
-0.1411,0.17
-0.141,0.169847281612706
-0.14,0.168335054667189
-0.139776,0.168
-0.139,0.166829015916358
-0.138444,0.166
-0.138,0.165331931402052
-0.137104,0.164
-0.137,0.163843941002086
-0.136,0.162358394081166
-0.135756,0.162
-0.135,0.160878831154564
-0.1344,0.16
-0.134,0.159408262139872
-0.133036,0.158
-0.133,0.157946866943168
-0.132,0.156485099766779
-0.131664,0.156
-0.131,0.155031237140399
-0.130284,0.154
-0.13,0.153586506826003
-0.129,0.152148053796876
-0.128896,0.152
-0.128,0.150710254176295
-0.1275,0.15
-0.127,0.149281581669796
-0.126096,0.148
-0.126,0.147862288217734
-0.125,0.146442882924394
-0.124684,0.146
-0.124,0.145029730675061
-0.123264,0.144
-0.123,0.143626018179672
-0.122,0.142226863577914
-0.121836,0.142
-0.121,0.14082876198745
-0.1204,0.14
-0.12,0.13944020152745
-0.119,0.138060097391029
-0.118956,0.138
-0.118,0.136676644063716
-0.117504,0.136
-0.117,0.135302876205199
-0.116044,0.134
-0.116,0.133939173853836
-0.115,0.132571498590859
-0.114576,0.132
-0.114,0.131212234240955
-0.1131,0.13
-0.113,0.129863267280912
-0.112,0.128511594987302
-0.111616,0.128
-0.111,0.127166617342409
-0.110124,0.126
-0.11,0.125832223701731
-0.109,0.124495346564107
-0.108624,0.124
-0.108,0.123164514317799
-0.107116,0.122
-0.107,0.12184461329
-0.106,0.120521308484296
-0.1056,0.12
-0.105,0.119204560519687
-0.104076,0.118
-0.104,0.11789915890793
-0.103,0.116588177734288
-0.102544,0.116
-0.102,0.115285539604185
-0.101004,0.114
-0.101,0.113994739999077
-0.1,0.112694795420335
-0.099456,0.112
-0.099,0.111406388023618
-0.098,0.110126384484581
-0.0979,0.11
-0.097,0.108840151834669
-0.096336,0.108
-0.096,0.107566202840339
-0.095,0.106295515758635
-0.094764,0.106
-0.094,0.105023394915827
-0.093184,0.104
-0.093,0.103764253683536
-0.092,0.102501484690649
-0.091596,0.102
-0.091,0.101243842977263
-0.09,0.1
-0.09,0.1
-0.089,0.0987436554600734
-0.088396,0.098
-0.088,0.0975010029316463
-0.087,0.0962632407454426
-0.086784,0.096
-0.086,0.0950215797410431
-0.085164,0.094
-0.085,0.0937945957469488
-0.084,0.0925613001630464
-0.083536,0.092
-0.083,0.0913350234640488
-0.082,0.0901197509180904
-0.0819,0.09
-0.081,0.0888939865639849
-0.080256,0.088
-0.08,0.0876840038152948
-0.079,0.0864710894704808
-0.078604,0.086
-0.078,0.0852613616972868
-0.077,0.0840659525545399
-0.076944,0.084
-0.076,0.0828562856978019
-0.075276,0.082
-0.075,0.0816637946402044
-0.074,0.0804684114995023
-0.0736,0.08
-0.073,0.0792757559297483
-0.072,0.0780973898567097
-0.071916,0.078
-0.071,0.0769043734282034
-0.070224,0.076
-0.07,0.0757303085989481
-0.069,0.0745493107104984
-0.068524,0.074
-0.068,0.0733747016706444
-0.067,0.0722102456674919
-0.066816,0.072
-0.066,0.0710348905972797
-0.0651,0.07
-0.065,0.0698807820696233
-0.064,0.0687105633331101
-0.063376,0.068
-0.063,0.0675555864562331
-0.062,0.0664014214446798
-0.061644,0.066
-0.061,0.0652453660961579
-0.06,0.0641071802386435
-0.059904,0.064
-0.059,0.062949829376316
-0.058156,0.062
-0.058,0.0618169429934136
-0.057,0.0606686975258192
-0.0564,0.06
-0.056,0.0595344867716658
-0.055,0.058401704848162
-0.054636,0.058
-0.054,0.057265939664093
-0.053,0.0561485990790603
-0.052864,0.056
-0.052,0.0550110375275938
-0.051084,0.054
-0.051,0.0539026024220562
-0.05,0.0527695282939544
-0.049296,0.052
-0.049,0.0516594388883972
-0.048,0.0505411723958784
-0.0475,0.05
-0.047,0.049429171613846
-0.046,0.0483257433699437
-0.045696,0.048
-0.045,0.0472115548003398
-0.044,0.046123028682099
-0.043884,0.046
-0.043,0.0450063532401525
-0.042064,0.044
-0.042,0.0439267658379278
-0.041,0.0428133427963094
-0.040236,0.042
-0.04,0.0417317891546704
-0.039,0.0406323110970598
-0.0384,0.04
-0.038,0.0395484817699515
-0.037,0.038463058513558
-0.036556,0.038
-0.036,0.0373766080490971
-0.035,0.0363053995185143
-0.034704,0.036
-0.034,0.0352159386214577
-0.033,0.0341591645660785
-0.032844,0.034
-0.032,0.0330662501626969
-0.031,0.0320242026975923
-0.030976,0.032
-0.03,0.0309273251820305
-0.0291,0.03
-0.029,0.029886689832301
-0.028,0.0287989518124909
-0.027216,0.028
-0.027,0.0277562469772691
-0.026,0.0266809236014257
-0.025324,0.026
-0.025,0.0256357031655423
-0.024,0.0245730392969657
-0.023424,0.024
-0.023,0.0235247524752475
-0.022,0.0224751026235945
-0.021516,0.022
-0.021,0.0214230534661517
-0.02,0.0203869220352099
-0.0196,0.02
-0.019,0.019330207635633
-0.018,0.018308310425037
-0.017676,0.018
-0.017,0.0172457227870072
-0.016,0.0162390847536773
-0.015744,0.016
-0.015,0.0151689472214465
-0.014,0.0141790655181415
-0.013804,0.014
-0.013,0.0130989433237272
-0.012,0.0121280758968277
-0.011856,0.012
-0.011,0.0110342233922527
-0.01,0.0100859401856308
-0.0099,0.01
-0.009,0.00897213339424395
-0.008,0.00805248052480525
-0.007936,0.008
-0.007,0.00690718038528897
-0.006,0.00602750891492613
-0.005964,0.006
-0.005,0.00482534524776604
-0.004,0.00401080351114112
-0.003984,0.004
NaN,NaN
-0.003,0.00267563930013459
-0.002,0.00200201409869084
-0.001996,0.002
NaN,NaN
0.005,0
0.006,0
0.007,0
0.008,0
0.009,0
0.01,0
0.011,0
0.012,0
0.013,0
0.014,0
0.015,0
0.016,0
0.017,0
0.018,0
0.019,0
0.02,0
0.021,0
0.022,0
0.023,0
0.024,0
0.025,0
0.026,0
0.027,0
0.028,0
0.029,0
0.03,0
0.031,0
0.032,0
0.033,0
0.034,0
0.035,0
0.036,0
0.037,0
0.038,0
0.039,0
0.04,0
0.041,0
0.042,0
0.043,0
0.044,0
0.045,0
0.046,0
0.047,0
0.048,0
0.049,0
0.05,0
0.051,0
0.052,0
0.053,0
0.054,0
0.055,0
0.056,0
0.057,0
0.058,0
0.059,0
0.06,0
0.061,0
0.062,0
0.063,0
0.064,0
0.065,0
0.066,0
0.067,0
0.068,0
0.069,0
0.07,0
0.071,0
0.072,0
0.073,0
0.074,0
0.075,0
0.076,0
0.077,0
0.078,0
0.079,0
0.08,0
0.081,0
0.082,0
0.083,0
0.084,0
0.085,0
0.086,0
0.087,0
0.088,0
0.089,0
0.09,0
0.091,0
0.092,0
0.093,0
0.094,0
0.095,0
0.096,0
0.097,0
0.098,0
0.099,0
0.1,0
0.101,0
0.102,0
0.103,0
0.104,0
0.105,0
0.106,0
0.107,0
0.108,0
0.109,0
0.11,0
0.111,0
0.112,0
0.113,0
0.114,0
0.115,0
0.116,0
0.117,0
0.118,0
0.119,0
0.12,0
0.121,0
0.122,0
0.123,0
0.124,0
0.125,0
0.126,0
0.127,0
0.128,0
0.129,0
0.13,0
0.131,0
0.132,0
0.133,0
0.134,0
0.135,0
0.136,0
0.137,0
0.138,0
0.139,0
0.14,0
0.141,0
0.142,0
0.143,0
0.144,0
0.145,0
0.146,0
0.147,0
0.148,0
0.149,0
0.15,0
0.151,0
0.152,0
0.153,0
0.154,0
0.155,0
0.156,0
0.157,0
0.158,0
0.159,0
0.16,0
0.161,0
0.162,0
0.163,0
0.164,0
0.165,0
0.166,0
0.167,0
0.168,0
0.169,0
0.17,0
0.171,0
0.172,0
0.173,0
0.174,0
0.175,0
0.176,0
0.177,0
0.178,0
