x,g
-1.414,-3.411334308816
-1.412,-3.384437665536
-1.41,-3.35766261
-1.408,-3.331008823296
-1.406,-3.304475986896
-1.404,-3.278063782656
-1.402,-3.251771892816
-1.4,-3.2256
-1.398,-3.199547787216
-1.396,-3.173614937856
-1.394,-3.147801135696
-1.392,-3.122106064896
-1.39,-3.09652941
-1.388,-3.071070855936
-1.386,-3.045730088016
-1.384,-3.020506791936
-1.382,-2.995400653776
-1.38,-2.97041136
-1.378,-2.945538597456
-1.376,-2.920782053376
-1.374,-2.896141415376
-1.372,-2.871616371456
-1.37,-2.84720661
-1.368,-2.822911819776
-1.366,-2.798731689936
-1.364,-2.774665910016
-1.362,-2.750714169936
-1.36,-2.72687616
-1.358,-2.703151570896
-1.356,-2.679540093696
-1.354,-2.656041419856
-1.352,-2.632655241216
-1.35,-2.60938125
-1.348,-2.586219138816
-1.346,-2.563168600656
-1.344,-2.540229328896
-1.342,-2.517401017296
-1.34,-2.49468336
-1.338,-2.472076051536
-1.336,-2.449578786816
-1.334,-2.427191261136
-1.332,-2.404913170176
-1.33,-2.38274421
-1.328,-2.360684077056
-1.326,-2.338732468176
-1.324,-2.316889080576
-1.322,-2.295153611856
-1.32,-2.27352576
-1.318,-2.252005223376
-1.316,-2.230591700736
-1.314,-2.209284891216
-1.312,-2.188084494336
-1.31,-2.16699021
-1.308,-2.146001738496
-1.306,-2.125118780496
-1.304,-2.104341037056
-1.302,-2.083668209616
-1.3,-2.0631
-1.298,-2.042636110416
-1.296,-2.022276243456
-1.294,-2.002020102096
-1.292,-1.981867389696
-1.29,-1.96181781
-1.288,-1.941871067136
-1.286,-1.922026865616
-1.284,-1.902284910336
-1.282,-1.882644906576
-1.28,-1.86310656
-1.278,-1.843669576656
-1.276,-1.824333662976
-1.274,-1.805098525776
-1.272,-1.785963872256
-1.27,-1.76692941
-1.268,-1.747994846976
-1.266,-1.729159891536
-1.264,-1.710424252416
-1.262,-1.691787638736
-1.26,-1.67324976
-1.258,-1.654810326096
-1.256,-1.636469047296
-1.254,-1.618225634256
-1.252,-1.600079798016
-1.25,-1.58203125
-1.248,-1.564079702016
-1.246,-1.546224866256
-1.244,-1.528466455296
-1.242,-1.510804182096
-1.24,-1.49323776
-1.238,-1.475766902736
-1.236,-1.458391324416
-1.234,-1.441110739536
-1.232,-1.423924862976
-1.23,-1.40683341
-1.228,-1.389836096256
-1.226,-1.372932637776
-1.224,-1.356122750976
-1.222,-1.339406152656
-1.22,-1.32278256
-1.218,-1.306251690576
-1.216,-1.289813262336
-1.214,-1.273466993616
-1.212,-1.257212603136
-1.21,-1.24104981
-1.208,-1.224978333696
-1.206,-1.208997894096
-1.204,-1.193108211456
-1.202,-1.177309006416
-1.2,-1.1616
-1.198,-1.145980913616
-1.196,-1.130451469056
-1.194,-1.115011388496
-1.192,-1.099660394496
-1.19,-1.08439821
-1.188,-1.069224558336
-1.186,-1.054139163216
-1.184,-1.039141748736
-1.182,-1.024232039376
-1.18,-1.00940976
-1.178,-0.994674635856
-1.176,-0.980026392576
-1.174,-0.965464756175999
-1.172,-0.950989453055999
-1.17,-0.93660021
-1.168,-0.922296754176
-1.166,-0.908078813135999
-1.164,-0.893946114815999
-1.162,-0.879898387535999
-1.16,-0.86593536
-1.158,-0.852056761295999
-1.156,-0.838262320895999
-1.154,-0.824551768656
-1.152,-0.810924834816001
-1.15,-0.797381250000001
-1.148,-0.783920745216001
-1.146,-0.770543051856001
-1.144,-0.757247901696001
-1.142,-0.744035026896001
-1.14,-0.730904160000001
-1.138,-0.717855033936001
-1.136,-0.704887382016001
-1.134,-0.692000937936001
-1.132,-0.679195435776001
-1.13,-0.666470610000001
-1.128,-0.653826195456001
-1.126,-0.641261927376001
-1.124,-0.628777541376001
-1.122,-0.616372773456001
-1.12,-0.604047360000001
-1.118,-0.591801037776001
-1.116,-0.579633543936001
-1.114,-0.567544616016001
-1.112,-0.555533991936001
-1.11,-0.543601410000001
-1.108,-0.531746608896001
-1.106,-0.519969327696
-1.104,-0.508269305856001
-1.102,-0.496646283216001
-1.1,-0.485100000000001
-1.098,-0.473630196816
-1.096,-0.462236614656001
-1.094,-0.450918994896001
-1.092,-0.439677079296
-1.09,-0.42851061
-1.088,-0.417419329536
-1.086,-0.406402980816001
-1.084,-0.395461307136
-1.082,-0.384594052176
-1.08,-0.37380096
-1.078,-0.363081775056
-1.076,-0.352436242176
-1.074,-0.341864106576
-1.072,-0.331365113856
-1.07,-0.32093901
-1.068,-0.310585541376
