t,fF,fC,fS
-3,0.496027129187369,0.984108516749507,-7.80020441387914e-15
-2.997,0.347529583708825,0.983659252049623,-0.146557290860405
-2.994,0.209549647818379,0.982320240918928,-0.290198163350887
-2.991,0.092019449679964,0.980117529532238,-0.428106707945459
-2.988,0.00208362738848578,0.977093531488328,-0.557663912147638
-2.985,-0.0567600171719514,0.973305575667095,-0.676535991223777
-2.982,-0.0849422389019361,0.968823957053157,-0.782751083789828
-2.979,-0.0864975901273999,0.963729569850417,-0.874761252063429
-2.976,-0.0682078379141258,0.958111218686307,-0.951487378276132
-2.973,-0.0383762462714862,0.952062715938742,-1.01234530416
-2.97,-0.00545237063938864,0.945679880694382,-1.05725238438449
-2.967,0.0232566567826003,0.939057557265667,-1.08661447908554
-2.964,0.0425784929217945,0.932286768492798,-1.10129425574815
-2.961,0.0500242178712858,0.925452111407278,-1.10256246790911
-2.958,0.045831994032079,0.918629490634038,-1.09203459120068
-2.955,0.0325375973616405,0.91188426876308,-1.07159579417019
-2.952,0.0141862474606212,0.905269893608196,-1.04331767584392
-2.949,-0.00464262934617699,0.898827040705786,-1.00937049487611
-2.946,-0.0198037439274402,0.892583286600153,-0.971934734879927
-2.943,-0.0283685056633671,0.886553305465506,-0.933115794025881
-2.94,-0.0290906615859311,0.880739559475971,-0.894865359434846
-2.937,-0.022493532398944,0.875133433043902,-0.85891264154413
-2.934,-0.0105944259294679,0.869716743492646,-0.826708121049611
-2.931,0.00364899605474706,0.864463546658779,-0.799381828018712
-2.928,0.0170373081435213,0.859342145900437,-0.777717460982955
-2.925,0.0268206474909877,0.854317207392347,-0.762142898178755
-2.922,0.0312427525625395,0.849351883568334,-0.752736890065629
-2.919,0.0298370542490012,0.844409850063861,-0.74925098801268
-2.916,0.0234313179385296,0.839457169237561,-0.751145092793743
-2.913,0.0138798194731514,0.83446390483981,-0.757634428812659
-2.91,0.00359692273076789,0.829405427007512,-0.76774529125747
-2.907,-0.00499753745194786,0.824263363721933,-0.780376592881858
-2.904,-0.00999896593106214,0.819026173301019,-0.794364066981624
-2.901,-0.0103969490161818,0.813689331488745,-0.808543967968467
-2.898,-0.00624045874908336,0.808255145326923,-0.821813247690941
-2.895,0.00143364259716477,0.802732223365487,-0.833183463900906
-2.892,0.0108804985862506,0.797134647084215,-0.841826079890356
-2.889,0.0200645635943876,0.791480900981909,-0.847107318465175
-2.886,0.0271177460597718,0.785792628108803,-0.848611311721627
-2.883,0.0307379339573973,0.780093283519583,-0.846150910140407
-2.88,0.0304450780241075,0.774406760040563,-0.839766148430608
-2.877,0.0266464561320472,0.768756058899708,-0.829710979608237
-2.874,0.0205059534239683,0.763162072372936,-0.816429452979925
-2.871,0.0136545940841877,0.757642537036085,-0.800522999224761
-2.868,0.00781214201233638,0.752211205008777,-0.782710874312225
-2.865,0.00440579047031064,0.74687726738168,-0.76378608676408
-2.862,0.00426897760423167,0.741645049562134,-0.744569279212588
-2.859,0.00748259711904836,0.736513983328212,-0.725863051424476
-2.856,0.01338747817862,0.731478845724442,-0.70840910075148
-2.853,0.0207586602112603,0.726530241304127,-0.692850326551384
-2.85,0.0280971458259169,0.721655292290374,-0.679699712520185
-2.847,0.0339708801696847,0.716838491552488,-0.669317385018394
-2.844,0.0373284676207953,0.712062666306293,-0.661896770073126
-2.841,0.0377178315555583,0.707309996426018,-0.657460262980615
-2.838,0.0353651811480111,0.702563030320102,-0.655864309582085
-2.835,0.0311017513097185,0.697805643428937,-0.656813304241743
-2.832,0.0261595484486806,0.693023889347596,-0.659881261479148
-2.829,0.0218853571006761,0.688206701016762,-0.664539838249866
-2.826,0.0194386127096852,0.683346408894976,-0.670190990085433
-2.823,0.0195402183141303,0.6784390539658,-0.676202349810224
-2.82,0.0223261100618159,0.673484485222779,-0.681943329944587
-2.817,0.0273347026624374,0.668486243263453,-0.686819970982902
-2.814,0.033627007179836,0.663451243167647,-0.690306683544985
-2.811,0.0400090203225726,0.65838928033193,-0.691973253556673
-2.808,0.0453043057601402,0.653312391849489,-0.6915057819265
-2.805,0.0486150730687798,0.648234112928454,-0.688720595496995
-2.802,0.0495142920110317,0.643168672415817,-0.683570573295307
-2.799,0.0481281588842916,0.638130173554674,-0.676143758487879
-2.796,0.0450935381572039,0.633131805604844,-0.666654548667003
-2.793,0.0414030471767519,0.628185128994146,-0.655428152632667
-2.79,0.0381749885711664,0.623299471463112,-0.642879350089689
-2.787,0.0364010435767138,0.618481465557932,-0.629486874064135
-2.784,0.0367282707992431,0.613734749247801,-0.615764940632791
-2.781,0.0393229963667118,0.609059841895118,-0.602233567557952
-2.778,0.0438449063763831,0.604454197832781,-0.589389348352492
-2.775,0.0495345565556215,0.599912429954518,-0.577678281942763
-2.772,0.055392275442846,0.595426686535485,-0.567472106128765
-2.769,0.0604066402800614,0.590987156456306,-0.559049355641346
-2.766,0.063780610295498,0.586582671516898,-0.552582076803044
-2.763,0.0651050365409159,0.582201369915193,-0.548128797676983
-2.76,0.0644420220870171,0.577831382439793,-0.545633994244823
-2.757,0.0623014255266784,0.573461502575966,-0.544933929669675
-2.754,0.0595179062064178,0.5690818035217,-0.545768395017618
-2.751,0.0570578907602066,0.564684168908986,-0.547797564665413
-2.748,0.0558008628843014,0.560262709572713,-0.550622914540036
-2.745,0.0563442419694504,0.555814045662854,-0.553810949787558
-2.742,0.0588749333337723,0.551337441342532,-0.556918360189599
-2.739,0.0631349814498753,0.546834787796278,-0.559517172179635
-2.736,0.0684872874976173,0.542310438810875,-0.561218496785536
-2.733,0.0740649396059652,0.537770911313252,-0.56169357997171
-2.73,0.0789693478249022,0.533224470516199,-0.560691038269839
-2.727,0.0824720886575793,0.528680625348841,-0.558049397210794
